Company,Sector,SubSector,Industry,Ticker,FSS Score,FSS Weekly Change,Total Articles,Negative Articles,Z-Score,Receivables to Revenue,Debt to EBITDA,_ebitda,_totalDebt,Quick Ratio,S&P Issuer Credit Rating,Market Capitalization,Current Open Price,52-Week High Price,52-Week Low Price
"Equity LifeStyle Properties, Inc.",Real Estate,REITs,Residential REITs,ELS,0.1384322222222222,1.207777777777778,87.0,39.08,1849087.8351,,4.5952,722.838,3321.613,,,12293701484.67,63.45,63.57,63.08
"Motorola Solutions, Inc.",Manufacturing,Other Manufacturing,Telecommunications Equipment,MSI,0.1338466666666666,-0.8233333333333333,656.0,34.76,2300440.0195,0.3344,2.6955,3399.0,9162.0,0.87479,,65098487392.94,389.92,399.08,388.94
"GoHealth, Inc.",Financial Services,Insurance,Insurance Brokering,GOCO,0.1997633333333333,-1.8900000000000003,94.0,43.62,13246.5815,0.4066,4.6754,104.24,487.365,1.18447,,26348801.7056,0.92,0.9224,0.8501
Nuveen Select Tax-Free Income Portfolio,Financial Services,Investment Management,Investment Trusts,NXP,0.0677188888888889,-7.506666666666667,20.0,20.0,14522833.8871,0.2063,0.8511,31.01894,26.4,,,746294509.1,14.27,14.37,14.27
OFS Capital Corp.,Financial Services,Investment Management,Business Development Companies/Venture Capital Trusts,OFS,0.1052944444444444,-4.698888888888889,89.0,34.83,131273.3426,0.0177,17.5741,12.384,217.638,,,48902984.7,3.86,3.8977,3.63
Old Republic International Corp.,Financial Services,Insurance,Non-life Insurance,ORI,0.0618688888888888,0.5111111111111111,227.0,18.5,239317.1032,,1.2083,1315.8,1589.9,,,9552189605.68,39.46,39.63,39.03
"Telephone & Data Systems, Inc.",Telecommunications,Wireless,Wireless Telecommunications Services,TDS,0.1939433333333333,-0.4911111111111111,103.0,43.69,822201.7843,0.0935,2.7719,298.941,828.638,2.08809,,4928678000.0,45.5,46.42,43.22
"Highlands REIT, Inc.",Real Estate,REITs,Diversified REITs,HHDS,0.2028755555555555,-2.4555555555555557,12.0,33.33,422912.8001,0.2157,16.8753,7.119,120.135,,,89510549.876782,0.109934,0.123941,0.051067
Kemper Corp.,Financial Services,Insurance,Full-line Insurance,KMPR,0.2384611111111111,-0.0588888888888888,118.0,37.29,111155.1111,,3.0,314.5,943.5,,,1813915087.92,30.33,31.04,29.86
"Array Digital Infrastructure, Inc.",Telecommunications,Wireless,Mobile Telecommunications,AD,0.2030322222222222,-1.0744444444444443,117.0,47.86,1290066.9481,0.1329,470.8946,1.432,674.321,0.72398,,4537728000.0,53.11,53.73,52.0
"Ventas, Inc.",Real Estate,REITs,Healthcare REITs,VTR,0.0629833333333333,-0.1411111111111111,309.0,17.48,1741330.9609,0.0171,5.8172,2236.664,13011.016,,,42632223009.87,87.67,88.75,86.84
"Xeris Biopharma Holdings, Inc.",Healthcare,Pharmaceuticals,Biopharmaceuticals,XERS,0.1396866666666666,-0.2833333333333333,77.0,25.97,1719709.76,0.1749,5.9466,37.052,220.335,1.56643,,1060022217.7,6.55,6.62,6.1
"Karat Packaging, Inc.",Materials,Paper & Packaging,Packaging,KRT,0.2365622222222222,-2.83,48.0,47.92,2339884.4095,0.0778,0.691,51.812,35.803,1.13224,,539220374.31,28.09,28.25,26.765
First Financial Bancorp (Ohio),Financial Services,Banking,Commercial Banking,FFBC,0.0856833333333333,0.0677777777777777,138.0,28.26,103248.5424,,1.2789,402.206,514.384,,,3159423451.14,30.75,30.75,30.01
The Kroger Co.,Retail,Grocery & Food Retail,Supermarkets/Grocery Retailing,KR,0.39293,0.6855555555555556,1974.0,53.85,537265.5288,0.0149,2.3299,7685.0,17905.0,0.51662,,39694899592.8,65.79,65.79,64.42
"Medpace Holdings, Inc.",Healthcare,Other Healthcare,Medical Research Services,MEDP,0.0838111111111111,1.0888888888888888,197.0,22.84,4715517.823,0.1589,0.0,563.059,0.0,0.73647,,11917672622.81,427.44,427.44,414.36
Procter & Gamble Co.,Energy,Oil & Gas,Cosmetics/Toiletries,PG,0.1886111111111111,-1.8466666666666665,1463.0,39.37,2735590.8442,0.0734,1.461,23619.0,34508.0,0.49479,,333827949486.08,145.88,145.88,141.99
Hillman Solutions Corp.,Retail,E-commerce,Household Goods Retailing,HLMN,0.1085077777777777,1.5177777777777777,48.0,31.25,805938.8196,0.074,2.6144,261.311,683.167,0.62333,,1514738158.32,7.84,7.945,7.705
OPT-Sciences Corp.,Manufacturing,Aerospace & Defense,Aerospace Products/Parts,OPST,,,,,19476668.9888,0.2192,0.0,1.38725,0.0,23.6095,,17644558.75,22.75,22.75,22.75
Northern Technologies International Corp.,Materials,Chemicals,Basic Inorganic Chemicals,NTIC,0.2126411111111111,1.3277777777777775,51.0,50.98,1483530.1391,0.2358,16.0511,0.7885,12.65626,1.20555,,75651247.97,8.0,8.05,7.97
"Applied Industrial Technologies, Inc.",Retail,Wholesale & Distribution,Machinery/Industrial Goods Wholesalers,AIT,0.1005611111111111,1.2766666666666668,120.0,23.33,5173974.1241,0.1687,1.0238,559.009,572.3,2.3608,,11477785457.55,309.31,311.82,308.65
"Cleveland-Cliffs, Inc.",Materials,Metals & Mining,Ferrous Metal Ore Mining,CLF,0.2179566666666666,1.3522222222222222,537.0,44.13,276836.4466,0.0775,201.4474,38.0,7655.0,0.50363,,6411460744.68,11.1,11.33,11.05
"Hyster-Yale, Inc.",Manufacturing,Industrial Machinery,Construction Machinery,HY,0.3453188888888888,-0.8055555555555556,107.0,63.55,252746.4438,0.1299,7.9597,62.1,494.3,0.71142,,652317991.82,37.21,37.21,36.34
"TransDigm Group, Inc.",Manufacturing,Aerospace & Defense,Aerospace Products/Parts,TDG,0.1307677777777778,0.4977777777777777,388.0,25.0,1234166.6253,0.2148,6.5621,4574.0,30015.0,2.25344,,67045907934.61,1218.74,1225.57,1192.28
"Unity Bancorp, Inc.",Financial Services,Banking,Commercial Banking,UNTY,0.0703922222222222,2.821111111111111,125.0,17.6,121846.4716,,0.1249,82.555,10.31,,,532268215.02,53.49,53.96,52.94
Willis Lease Finance Corp.,Transportation,Vehicle Rental,Aircraft Rental/Leasing,WLFC,0.2374744444444444,2.5544444444444445,255.0,47.45,284722.7713,0.0489,7.006,385.43,2700.338,,,1523625559.03,222.91,226.55,215.0501
Star Gold Corp.,Materials,Metals & Mining,Mining/Quarrying,SRGZ,0.4844111111111111,-0.8377777777777778,17.0,82.35,13731517.3763,,-4.0043,-0.20303,0.813,0.023,,23391921.32,0.13,0.13,0.122
"American Outdoor Brands, Inc.",Consumer Goods,Other Consumer Goods,Sports Equipment,AOUT,0.2217866666666666,-5.276666666666666,102.0,61.76,1020197.2295,0.1776,0.0,14.048,0.0,1.8174,,116888652.8,9.28,9.555,9.1
First Farmers & Merchants Corp.,Financial Services,Banking,Commercial Banking,FFMH,0.0507688888888888,-1.402222222222222,12.0,33.33,83199.8056,,0.0893,27.131,2.424,,,225710937.0,57.0,57.0,57.0
"Rekor Systems, Inc.",Software & Technology,Software,Software,REKR,0.3366255555555555,0.8722222222222222,124.0,62.1,1682413.7045,0.1851,-0.8716,-18.874,16.45,0.95077,,119219090.7033,0.8796,0.9048,0.841
COPT Defense Properties,Real Estate,REITs,Industrial/Office REITs,CDP,0.1652544444444444,0.6155555555555556,121.0,42.15,675349.7994,0.0762,7.0569,392.27,2768.197,,,3587244578.12,31.81,31.83,31.54
"Tenable Holdings, Inc.",Software & Technology,Software,Security/Privacy Software,TENB,0.1777444444444444,1.143333333333333,196.0,36.22,992013.353,0.2793,8.2569,43.201,356.707,0.95158,,2349895744.63,21.79,22.13,21.04
"Bread Financial Holdings, Inc.",Other,Miscellaneous Services,Marketing Services,BFH,0.1291977777777777,-0.6833333333333333,268.0,36.19,106490.3635,3.7142,11.2494,1620.0,18224.0,,,3431772030.45,87.3,87.35,84.57
"American Electric Power Co., Inc.",Energy,Power Generation,Electric Power Generation,AEP,0.1207977777777777,0.42,729.0,31.14,512329.2528,0.1185,5.8919,8314.0,48985.0,0.33273,,71114517618.5,130.75,131.77,130.095
"CF Bankshares, Inc.",Financial Services,Banking,Regional Banks,CFBK,0.1709433333333333,-3.1266666666666665,51.0,50.98,53990.6732,,2.1521,26.952,58.003,,,173929750.92,27.252,27.735,26.45
"Huntington Bancshares, Inc.",Financial Services,Banking,Commercial Banking,HBAN,0.1264244444444444,-1.3088888888888888,1076.0,32.34,96689.9258,,2.7858,4655.0,12968.0,,,32353004168.52,16.14,16.21,15.83
"Bath & Body Works, Inc.",Retail,Clothing & Fashion Retail,Cosmetics/Perfume Retailing,BBWI,0.3497777777777778,4.041111111111111,1143.0,63.6,370009.6693,0.0281,2.509,1548.0,3884.0,0.88465,,3858489044.88,19.7,19.84,18.96
"M/I Homes, Inc.",Construction,Building Construction,Residential Building Construction,MHO,0.1033377777777777,-2.8844444444444446,48.0,27.08,1241343.3482,0.0108,1.7046,570.895,973.156,,,3332855796.16,132.59,132.59,130.16
"Northwest Bancshares, Inc. (Pennsylvania)",Financial Services,Banking,Savings Institutions,NWBI,0.1021433333333333,1.95,147.0,21.77,80847.969,,0.9889,247.652,244.893,,,2004510718.7,13.95,13.97,13.67
"Root, Inc.",Financial Services,Insurance,Non-life Insurance,ROOT,0.0861277777777777,0.3455555555555555,99.0,25.25,420705.2159,,2.673,73.7,197.0,,,896243142.48,55.09,57.57,54.2475
"Core Molding Technologies, Inc.",Materials,Plastics & Polymers,Plastics Products,CMT,0.1352333333333333,-4.732222222222222,58.0,32.76,1775066.8462,0.1368,0.6923,28.477,19.714,2.44676,,206974936.83,22.87,22.87,22.87
"Designer Brands, Inc.",Retail,Clothing & Fashion Retail,Shoe Retailing,DBI,0.3531566666666667,-4.117777777777778,241.0,64.73,115595.9619,0.0167,4.4743,109.745,491.035,0.2288,,333424352.97,6.96,6.97,6.54
"Scienture Holdings, Inc.",Retail,Wholesale & Distribution,Pharmaceutical/Medical Products Wholesalers,SCNX,0.3442366666666667,1.8266666666666669,122.0,63.93,381820.4387,39.885,-0.3128,-14.69902,4.5977,0.79747,,16406723.097,0.392,0.4189,0.388
Cerus Corp.,Healthcare,Medical Devices,Medical Devices/Apparatus,CERS,0.1746366666666666,0.7299999999999999,96.0,38.54,1921892.0863,0.1299,-12.5562,-6.681,83.888,1.17343,,504929814.48,2.59,2.62,2.46
Ranpak Holdings Corp.,Materials,Paper & Packaging,Packaging,PACK,0.1965833333333333,-2.385555555555555,68.0,39.71,549808.2165,0.1256,6.8584,58.6,401.9,1.46667,,540643610.0,6.52,6.53,6.2801
"Cencora, Inc.",Retail,Wholesale & Distribution,Pharmaceutical/Medical Products Wholesalers,COR,0.1562522222222222,0.231111111111111,691.0,35.46,403795.5532,0.0836,1.5909,4815.237,7660.773,0.54905,,50527507282.0,263.36,264.57,258.16
"MasTec, Inc.",Construction,Heavy/Civil Construction,Transmission Line Construction,MTZ,0.1107688888888889,1.7144444444444449,210.0,30.48,2997745.8814,0.2477,2.9442,791.627,2330.683,1.28907,,33296048941.72,415.0,422.94,413.99
"Catalyst Pharmaceuticals, Inc.",Healthcare,Pharmaceuticals,Pharmaceuticals,CPRX,0.1028322222222222,-0.9988888888888888,184.0,25.0,15277436.7931,0.2178,0.0,295.651,0.0,5.82299,,3811998912.05,31.15,31.2,31.14
"Dolphin Entertainment, Inc.",Media & Entertainment,"Film, TV & Streaming",Audiovisual Production,DLPN,0.41916,-1.5733333333333333,94.0,57.45,232655.0792,0.2044,244.7949,0.09205,22.53337,0.75685,,18144000.8,1.48,1.4824,1.41
"SunHydrogen, Inc.",Energy,Renewables,Renewable Energy Equipment,HYSR,0.0533555555555555,4.272222222222222,43.0,13.95,146063221.3055,,-0.0,-5.77787,0.0,55.89181,,164306522.761045,0.0273,0.031,0.0256
"TOR Minerals International, Inc.",Materials,Plastics & Polymers,Dyes/Pigments,TORM,0.0041,-8753.106249999999,1.0,0.0,425465.0048,0.1187,1.3684,2.275,3.113,1.07058,,6446440.0,1.78,2.25,1.72
Uranium Energy Corp.,Materials,Metals & Mining,Uranium Ore Mining,UEC,0.1621511111111111,-0.0344444444444445,253.0,41.11,39145407.8967,,-0.0,-70.541,0.0,5.85393,,8073936296.01,15.525,16.81,15.41
"Ducommun, Inc.",Manufacturing,Aerospace & Defense,Aircraft Engines,DCO,0.1511533333333333,2.637777777777778,70.0,38.57,2429372.2035,0.4538,2.7357,111.047,303.79,2.47456,,2122113345.12,137.23,140.88,133.34
"Pacific Oak Strategic Opportunity REIT, Inc.",Real Estate,REITs,Industrial/Office REITs,PCOK,0.1184255555555555,0.6622222222222223,22.0,22.73,67140.6648,0.1654,29.1079,30.058,874.924,,,108098964.75,1.05,1.05,1.05
Southwest Iowa Renewable Energy LLC,Energy,Renewables,Alternative Fuels,SWIOU,0.1979133333333333,7.912222222222223,14.0,57.14,1842603.6185,0.0361,0.2462,65.014,16.005,1.05853,,121162500.0,13500.0,13500.0,13500.0
"Globalstar, Inc.",Telecommunications,Satellite,Satellite Telecommunications Services,GSAT,0.1691433333333333,-2.8733333333333335,138.0,42.03,3225382.6348,0.0805,4.7402,102.06,483.788,2.37055,,10592889574.75,81.96,82.42,81.55
"Rocket Pharmaceuticals, Inc.",Healthcare,Pharmaceuticals,Pharmaceuticals,RCKT,0.2772888888888888,-9.758888888888889,804.0,74.13,4418766.9098,,-0.0978,-217.462,21.274,6.38065,,392004840.91,3.63,3.83,3.57
Cactus Acquisition Corp. 1 Ltd.,Financial Services,Holding Companies,Shell Company,CCTSF,0.3035677777777777,-1.0377777777777777,9.0,77.78,12218633.764,,-0.624,-2.024,1.263,0.08975,,46288270.98,11.79,11.79,11.79
"AptarGroup, Inc.",Materials,Paper & Packaging,Packaging,ATR,0.2445788888888889,0.4077777777777778,132.0,52.27,1777258.8657,0.2128,1.8314,809.736,1482.964,1.16226,,7655885107.36,121.22,121.22,119.51
"Snail, Inc.",Consumer Goods,Recreation & Electronics,Toys/Games,SNAL,0.0743233333333333,-6.4655555555555555,131.0,39.69,225450.8989,0.1516,1.3623,4.2006,5.72255,0.86362,,19733986.926,0.46,0.4776,0.451
"Reviva Pharmaceuticals Holdings, Inc.",Healthcare,Pharmaceuticals,Biopharmaceuticals,RVPH,0.2521766666666666,0.7811111111111111,104.0,50.0,416067.8196,,-0.0149,-30.79889,0.45815,1.00561,,10188092.8281,0.8677,0.88,0.791501
"Security National Corp. (Dakota Dunes, South Dakota)",Financial Services,Banking,Commercial Banking,SNLC,0.1772533333333333,-1.318888888888889,11.0,27.27,,,,,,,,328200400.0,192.0,200.0,192.0
Thermwood Corp.,Manufacturing,Industrial Machinery,Sawmill/Woodworking Machines,TOOD,0.1938111111111111,-2.442222222222222,18.0,66.67,1426951.7448,0.0999,,,6.061,0.58616,,20685945.0,21.0,21.0,21.0
"Hilltop Holdings, Inc.",Financial Services,Banking,Banking,HTH,0.1505055555555555,-0.6955555555555556,138.0,22.46,95726.2395,,2.4344,355.26,864.834,,,2182005744.16,37.91,38.07,37.21
"Wilhelmina International, Inc.",Other,Miscellaneous Services,Agents/Managers for Public Figures,WHLM,0.6312,0.0,1.0,100.0,609682.3587,0.4195,0.1367,0.9,0.123,1.74407,,17219454.0,3.5,3.5,3.5
"CompX International, Inc.",Consumer Goods,Home & Household,Furniture,CIX,0.1322766666666666,1.2233333333333332,31.0,25.81,9913739.7373,0.087,0.0,26.256,0.0,4.08823,,290207992.35,23.2,23.2,23.2
"CBRE Group, Inc.",Real Estate,Commercial Real Estate,Office Real Estate,CBRE,0.1056877777777777,0.3744444444444444,828.0,27.42,1166880.4357,0.2602,2.7484,2846.0,7822.0,1.08953,,42783430357.69,146.16,147.645,144.9
Dorchester Minerals LP,Energy,Oil & Gas,Natural Gas Extraction,DMLP,0.1661622222222222,0.9822222222222224,88.0,38.64,177812670.9147,0.1078,0.0,123.652,0.0,15.53611,,1278769425.0,26.23,26.78,26.0688
"Triumph Financial, Inc.",Financial Services,Banking,Commercial Banking,TFIN,0.1524044444444444,-0.8666666666666667,120.0,35.83,170313.2318,,1.3601,82.986,112.87,,,1543835507.05,66.58,66.83,64.47
"Arcosa, Inc.",Energy,Renewables,Renewable Energy Equipment,ACA,0.0527288888888888,-0.9088888888888887,83.0,16.87,1628868.3635,0.1449,2.7768,548.4,1522.8,1.35485,,6362888774.4,129.2,131.86,128.02
HF Sinclair Corp.,Energy,Oil & Gas,Petroleum Refining,DINO,0.22351,6.343333333333333,313.0,50.48,1075016.4398,0.044,1.9092,1497.0,2858.0,0.90101,,13125854567.97,73.0,74.259,72.4
"Transcontinental Realty Investors, Inc.",Real Estate,Real Estate Services,Real Estate Services/Transactions,TCI,0.0383755555555555,-2.2777777777777777,10.0,0.0,637184.6878,3.46,33.824,6.233,210.825,,,303499171.08,35.36,35.36,35.13
"BGSF, Inc.",Professional Services,HR & Staffing,Recruitment Services,BGSF,0.3070888888888888,0.7755555555555556,58.0,46.55,3383237.5206,0.1962,-0.085,-5.284,0.449,4.11935,,54876032.0,5.16,5.205,5.0
"Valhi, Inc.",Materials,Chemicals,Chemicals,VHI,0.2002411111111111,1.998888888888889,27.0,51.85,153343.7832,0.1535,9.1879,64.4,591.7,1.33385,,411232317.29,14.65,14.65,14.53
"NexPoint Real Estate Finance, Inc.",Real Estate,REITs,Mortgage REITs,NREF,0.0877911111111111,0.01,74.0,24.32,35359.9949,,114.7066,42.063,4824.902,,,290769455.48,15.98,16.0,15.5
Matador Resources Co.,Energy,Oil & Gas,Oil/Gas Exploration,MTDR,0.1757666666666666,-0.0455555555555555,156.0,33.97,693439.6897,0.1433,1.4124,2410.303,3404.39,0.74912,,6994959526.91,56.27,56.805,55.87
"EXCO Resources, Inc.",Energy,Oil & Gas,Oil/Gas Exploration,EXCE,,,,,144648.8187,0.2439,2.1962,215.533,473.364,0.28775,,496443822.0,23.0,23.0,23.0
"CSW Industrials, Inc.",Materials,Other Materials,Adhesives,CSW,0.1335311111111111,-1.1677777777777778,164.0,26.83,8827995.8576,0.1811,0.0,225.653,0.0,2.70367,,4514325340.7,271.48,277.37,267.79
Psychemedics Corp.,Healthcare,Other Healthcare,Medical Laboratory Services,PMDI,0.8719,0.0,2.0,100.0,2564154.7375,0.1282,-0.4119,-0.704,0.29,1.82147,,13624189.46,2.1514,2.23,2.146
"ASP Isotopes, Inc.",Software & Technology,Other Software & Technology,Biotechnology Services,ASPI,0.1947166666666666,0.38,395.0,42.28,10115749.2988,0.1772,-1.4102,-25.88223,36.49977,9.30511,,783119440.34,5.62,6.5,5.51
Southwest Airlines Co.,Transportation,Air,Low Cost Airlines,LUV,0.4480866666666667,-0.5222222222222223,1399.0,62.69,556344.1732,0.0409,2.3272,2106.0,4901.0,0.44593,,19546060782.87,41.07,41.185,39.93
"Texas Capital Bancshares, Inc.",Financial Services,Banking,Commercial Banking,TCBI,0.0903399999999999,2.0711111111111107,166.0,23.49,92102.5657,,1.2279,532.452,653.776,,,4284119115.9,99.96,100.03,98.03
"Trinity Industries, Inc.",Transportation,Rail,Railroad Rolling Stock,TRN,0.1104877777777777,-1.4211111111111112,95.0,31.58,236921.0657,0.1931,8.2027,663.5,5442.5,,,2901155804.47,36.7,37.25,36.47
"Upay, Inc.",Software & Technology,Software,Software,UPYY,0.4323444444444445,2.5744444444444445,3.0,100.0,25313266.7128,0.0693,0.7564,0.05099,0.03857,1.11385,,15745689.9,0.9,0.9,0.9
USA Compression Partners LP,Energy,Oil & Gas,Support Activities for Oil/Gas,USAC,0.1209733333333333,-4.4622222222222225,107.0,33.64,873201.1952,0.0826,4.1441,609.321,2525.097,0.54616,,3976591779.94,28.05,28.19,27.33
NetSTREIT Corp.,Real Estate,REITs,Retail REITs,NTST,0.1492677777777777,2.92,117.0,39.32,1034064.2744,0.8653,7.0605,155.959,1101.145,,,2013294564.9,20.64,20.83,20.52
"Westwood Holdings Group, Inc.",Financial Services,Other Financial Services,Investment Advice/Research Services,WHG,0.1003666666666666,1.958888888888889,71.0,29.58,2540441.8394,0.1713,0.0,9.419,0.0,1.20871,,155318199.86,16.68,16.95,16.16
"Wingstop, Inc.",Hospitality,Food & Drink,Limited-Service Restaurants,WING,0.1331655555555555,0.6022222222222221,80.0,35.0,1454736.4428,0.0299,5.5651,217.262,1209.094,3.26344,,3467520973.49,128.99,130.87,126.635
"Instil Bio, Inc.",Healthcare,Biotech & Research,Biological Therapy,TIL,0.3648744444444445,2.747777777777778,84.0,64.29,351445.7204,,-1.6055,-52.438,84.187,15.76368,,55137464.88,8.17,8.22,8.02
"Zion Oil & Gas, Inc.",Energy,Oil & Gas,Oil Extraction,ZNOG,0.3082644444444444,-1.6655555555555552,11.0,72.73,79305706.6571,,-0.0,-7.01,0.0,5.10585,,509142707.9112,0.4199,0.45,0.416
"FuelCell Energy, Inc.",Manufacturing,Instruments & Electronics,Batteries,FCEL,0.08109,2.006666666666667,234.0,27.78,2411496.9406,0.3351,-1.5044,-79.53,119.643,5.35996,,844467184.04,13.63,16.84,13.1
Black Hawk Acquisition Corp.,Financial Services,Holding Companies,Shell Company,BKHA,0.2387922222222222,-1.6466666666666665,15.0,53.33,7584066.3238,,-0.6503,-0.91551,0.59537,0.03427,,49261423.22,11.86,11.86,11.86
"Lee Enterprises, Inc.",Media & Entertainment,Publishing,Newspaper Publishing,LEE,0.5277211111111111,-1.2833333333333334,226.0,77.88,163565.4544,0.0971,11.7456,38.778,455.469,0.74762,,175838793.76,8.09,8.28,7.8501
Curtiss-Wright Corp.,Materials,Metals & Mining,Metal Products,CW,0.0973888888888889,-0.2866666666666667,271.0,19.56,6008357.6417,0.2665,1.2554,763.025,957.884,0.99844,,26914593267.12,721.26,732.71,715.22
"Ingersoll Rand, Inc.",Manufacturing,Industrial Machinery,Compressors/Hydraulic Equipment,IR,0.0864733333333333,0.8600000000000001,286.0,20.98,2137064.4388,0.1984,2.3707,2018.3,4784.7,1.48822,,29232861499.8,75.74,75.75,74.65
"Eton Pharmaceuticals, Inc.",Healthcare,Pharmaceuticals,Pharmaceuticals,ETON,0.1746222222222222,-5.968888888888889,68.0,51.47,9475765.5299,0.1374,-28.7751,-1.036,29.811,1.29288,,816416163.44,29.21,30.56,29.21
"Surge Components, Inc.",Software & Technology,Hardware & Semiconductors,Passive Components,SPRS,0.3777911111111111,1.242222222222222,9.0,88.89,1983960.1914,0.1779,0.0,1.32501,0.0,4.12748,,18922581.52,3.31,3.31,3.31
"Fortune Brands Innovations, Inc.",Materials,Building Materials,Building Materials/Products,FBIN,0.1779877777777777,4.673333333333333,236.0,38.56,654444.2415,0.115,2.9262,869.7,2544.9,0.88587,,4506905294.26,37.8,38.365,37.25
"Life Electric Vehicles Holdings, Inc.",Financial Services,Lending & Credit,Asset Based Lending Services,LFEV,0.7066515625,3.8,2.0,50.0,,,,,,0.80438,,15787926.0,1.844,1.844,1.8
"The ONE Group Hospitality, Inc.",Hospitality,Food & Drink,Restaurants/Caterers,STKS,0.2654088888888889,-4.155555555555556,61.0,34.43,50261.7296,0.0433,4.2355,81.21,343.963,0.35324,,64391174.04,2.02,2.14,1.935
"Advanced Energy Industries, Inc.",Software & Technology,Hardware & Semiconductors,Semiconductors,AEIS,0.0713077777777777,0.26,167.0,28.74,6846873.2516,0.1808,2.1167,268.1,567.5,1.17302,,13499742315.29,357.0,357.51,350.0
Apartment Investment & Management Co.,Real Estate,REITs,Residential REITs,AIV,0.1484777777777777,-1.606666666666667,63.0,30.16,203337.5468,0.0601,10.2109,116.787,1192.505,,,621519808.32,4.23,4.32,4.23
FirstSun Capital Bancorp,Financial Services,Banking,Commercial Banking,FSUN,0.1260088888888889,-0.0733333333333333,172.0,31.98,129017.3096,,0.3388,141.189,47.84,,,1576546053.75,36.75,36.9999,35.67
"Frontier Group Holdings, Inc.",Transportation,Air,Passenger Airlines,ULCC,0.4616122222222222,1.3333333333333333,466.0,65.67,103063.6141,0.0239,-10.5862,-58.0,614.0,0.41274,,1155840355.05,5.14,5.175,4.99
"Farmland Partners, Inc.",Real Estate,REITs,Specialty REITs,FPI,0.2087555555555555,0.2833333333333334,35.0,42.86,1049989.5825,0.0845,5.9081,27.224,160.842,,,454491234.42,10.56,10.62,10.36
Gold Resource Corp.,Materials,Metals & Mining,Gold Ore Mining,GORO,0.3835311111111111,-4.2622222222222215,56.0,62.5,922518.185,0.1329,0.0,30.927,0.0,2.3778,,215304268.97,1.35,1.39,1.32
Arrowmark Financial Corp.,Financial Services,Investment Management,Investment Trusts,BANX,0.0970411111111111,-3.207777777777778,59.0,20.34,2134650.9079,0.1342,2.9636,15.79161,46.8,,,188968806.91,19.83,19.83,19.45
"Healthpeak Properties, Inc.",Real Estate,REITs,Healthcare REITs,DOC,0.1076522222222222,-2.3200000000000003,242.0,29.34,636788.4274,0.0278,5.5334,1779.717,9847.894,,,13622933311.52,19.57,19.85,19.52
"Ibotta, Inc.",Software & Technology,Software,Mobile Applications Software,IBTA,0.16978,-3.508888888888889,219.0,35.62,1941830.3004,0.6111,0.0,10.179,0.0,1.96344,,771099722.97,35.06,35.62,31.57
"authID, Inc.",Software & Technology,Other Software & Technology,Biometrics Technology,AUID,0.39175,2.511111111111111,162.0,68.52,3929146.5855,0.592,-0.0166,-14.49096,0.24088,3.40791,,19358984.4,1.27,1.2836,1.1701
"First Western Financial, Inc.",Financial Services,Banking,Private Banking/Wealth Management,MYFW,0.2728722222222222,4.734444444444444,101.0,61.39,58527.0479,,1.8356,24.668,45.281,,,281848202.96,29.21,29.21,28.575
"Liberty Energy, Inc.",Energy,Oil & Gas,Fracking Services,LBRT,0.1958933333333333,-0.3555555555555555,177.0,39.55,2209915.7452,0.1511,0.9383,590.571,554.105,0.95765,,5448961380.24,33.58,34.23,32.775
InnovAge Holding Corp.,Healthcare,Healthcare Services,Home Healthcare Services,INNV,0.0874966666666666,-0.8833333333333333,89.0,25.84,2053609.8616,0.0465,2.438,29.731,72.483,1.06857,,999019852.48,7.31,7.44,7.0
"RE/MAX Holdings, Inc.",Real Estate,Real Estate Services,Real Estate Services/Transactions,RMAX,0.1891666666666666,1.0522222222222222,86.0,44.19,959921.8432,0.1205,5.7054,76.55,436.751,1.69389,,208081596.8,10.4,10.44,9.78
"Aytu Biopharma, Inc.",Healthcare,Pharmaceuticals,Pharmaceuticals,AYTU,0.1979233333333333,-1.9477777777777776,59.0,44.07,149350.2958,0.4693,2.718,8.026,21.815,1.07423,,26189027.52,2.51,2.5521,2.426
"DaVita, Inc.",Healthcare,Healthcare Services,Outpatient Care,DVA,0.1800133333333333,-1.512222222222222,161.0,37.89,422634.7634,0.2169,3.7008,2775.963,10273.189,1.24056,,12771306000.0,200.83,202.13,197.0
VF Corp.,Consumer Goods,Apparel & Textiles,Clothing,VFC,0.5217822222222223,-0.1922222222222222,1385.0,75.96,533777.067,0.1423,5.4608,728.493,3978.145,0.80029,,7019264373.42,18.88,18.91,17.91
"Voyager Technologies, Inc.",Manufacturing,Aerospace & Defense,Aerospace/Defense,VOYG,0.1691555555555555,-0.9388888888888888,277.0,45.13,1643646.7613,0.3582,-4.9939,-89.637,447.634,4.34104,,1826459370.54,29.43,33.36,28.7
The Western Union Co.,Financial Services,Banking,Commercial Banking,WU,0.2434922222222222,0.0211111111111111,333.0,45.05,228841.366,,3.0213,952.5,2877.8,,,2802542882.88,9.07,9.145,8.95
Community Bancorp (Vermont),Financial Services,Banking,Commercial Banking,CMTV,0.0783903225806451,-58.71774193548387,1.0,0.0,111077.5773,,3.752,17.33164,65.02911,,,213061496.04,39.35,40.38,37.56
"Principal Financial Group, Inc.",Financial Services,Insurance,Life Insurance,PFG,0.0678566666666666,-2.0644444444444447,436.0,20.64,39410.3437,,1.8326,2180.8,3996.6,,,21642280752.96,100.79,101.5,100.0
